sale_price_sqr_foot,housing_units,gross_rent
369.3443533294297,372560,1239
341.90342918010583,374507,1530
399.38996844881916,376454,2324
483.6003042611178,378401,2971
556.2772734475083,380348,3528
632.5403520321689,382295,3739
697.643709116537,384242,4390
